,Actual_OFI,FNN_Model_OFI,actual_signal,FNN_signal
209,-1.0,-0.9,SELL,SELL
210,-0.34579439252336447,-0.3545475,SELL,SELL
211,0.4358974358974359,0.5150107,BUY,BUY
212,1.0,0.9414704,BUY,BUY
213,1.0,0.93967664,BUY,BUY
214,0.3333333333333333,0.32982194,BUY,BUY
215,-1.0,-0.98868585,SELL,SELL
216,0.0,0.005210027,HOLD,BUY
217,-1.0,-0.9346385,SELL,SELL
218,1.0,0.95043725,BUY,BUY
219,-1.0,-0.9251008,SELL,SELL
220,-1.0,-0.9187422,SELL,SELL
221,1.0,0.9414704,BUY,BUY
222,-0.3333333333333333,-0.30832994,SELL,SELL
223,-1.0,-0.9715799,SELL,SELL
224,-0.7777777777777778,-0.78060865,SELL,SELL
225,-1.0,-0.9537146,SELL,SELL
226,1.0,0.9756854,BUY,BUY
227,-1.0,-0.999686,SELL,SELL
228,1.0,0.9845005,BUY,BUY
229,-1.0,-0.9,SELL,SELL
230,0.8752340593278801,0.9,BUY,BUY
231,0.8571428571428571,0.9,BUY,BUY
232,0.018867924528301886,0.001605019,BUY,BUY
233,-0.010101010101010102,-0.025271192,SELL,SELL
234,-1.0,-0.8670721,SELL,SELL
235,-1.0,-0.96007276,SELL,SELL
236,-1.0,-0.9,SELL,SELL
237,-0.9833333333333333,-0.9,SELL,SELL
238,0.4,0.4820612,BUY,BUY
239,0.2,0.18254416,BUY,BUY
240,-0.35,-0.35798573,SELL,SELL
241,-1.0,-0.93781817,SELL,SELL
242,0.48936170212765956,0.45148206,BUY,BUY
243,-1.0,-0.9632516,SELL,SELL
244,-0.9851851851851852,-0.9,SELL,SELL
245,0.9623824451410659,0.9,BUY,BUY
246,1.0,0.98451304,BUY,BUY
247,0.9839055793991416,0.9,BUY,BUY
248,0.1111111111111111,0.11574648,BUY,BUY
249,-0.52,-0.5073775,SELL,SELL
250,-0.09090909090909091,-0.1496541,SELL,SELL
251,0.09090909090909091,0.07072581,BUY,BUY
252,1.0,0.93304634,BUY,BUY
253,-0.5,-0.53252125,SELL,SELL
254,-1.0,-0.8872783,SELL,SELL
255,0.9815327793167128,0.9,BUY,BUY
256,0.9554730983302412,0.9,BUY,BUY
257,-0.5384615384615384,-0.53321886,SELL,SELL
258,0.9992617201919527,0.9,BUY,BUY
259,0.17647058823529413,0.15422039,BUY,BUY
260,0.8666040394551433,0.9,BUY,BUY
261,0.9628597957288765,0.9,BUY,BUY
262,0.16279069767441862,0.14413898,BUY,BUY
263,1.0,0.9881177,BUY,BUY
264,-0.9115646258503401,-0.9,SELL,SELL
265,1.0,0.9629923,BUY,BUY
266,-0.3684210526315789,-0.37055552,SELL,SELL
267,-1.0,-0.9,SELL,SELL
268,1.0,0.9813297,BUY,BUY
269,0.971830985915493,0.9,BUY,BUY
270,0.9060402684563759,0.9,BUY,BUY
271,-0.9843342036553525,-0.9,SELL,SELL
272,-0.9886877828054299,-0.9,SELL,SELL
273,-0.960822722820764,-0.9,SELL,SELL
274,-0.9426229508196722,-0.9,SELL,SELL
275,-0.9301686936053354,-0.9,SELL,SELL
276,-0.8694942903752039,-0.9,SELL,SELL
277,-0.7134751773049646,-0.06281711,SELL,SELL
278,0.46218487394957986,0.56256706,BUY,BUY
279,-0.9295392953929539,-0.9,SELL,SELL
280,-0.803921568627451,-0.83380747,SELL,SELL
281,-0.9809523809523809,-0.9,SELL,SELL
282,-0.8571428571428571,-0.9,SELL,SELL
283,-0.9575471698113207,-0.9,SELL,SELL
284,0.6153846153846154,0.6316215,BUY,BUY
285,-1.0,-0.9,SELL,SELL
286,-0.2631578947368421,-0.27259433,SELL,SELL
287,-1.0,-0.90920424,SELL,SELL
288,-0.6,-0.5836154,SELL,SELL
289,0.976905311778291,0.9,BUY,BUY
290,0.9867935521460478,0.9,BUY,BUY
291,-0.7227722772277227,0.041732296,SELL,BUY
292,0.7117117117117117,0.68620634,BUY,BUY
293,0.9574468085106383,0.9,BUY,BUY
294,0.8064516129032258,0.7530551,BUY,BUY
295,0.9652605459057072,0.9,BUY,BUY
296,-0.6,-0.5964252,SELL,SELL
297,-0.9716312056737588,-0.9,SELL,SELL
298,-0.9655172413793104,-0.9,SELL,SELL
299,-0.6916695471828551,0.37573576,SELL,BUY
300,-0.31297709923664124,-0.27919436,SELL,SELL
301,-0.8598047914818101,-0.9,SELL,SELL
302,-0.8979591836734694,-0.9,SELL,SELL
303,-0.8539553752535497,-0.9,SELL,SELL
304,0.5260555344237353,0.9,BUY,BUY
305,-0.1111111111111111,-0.095406786,SELL,SELL
306,0.944954128440367,0.9,BUY,BUY
307,-1.0,-0.9134671,SELL,SELL
308,0.9795779441797141,0.9,BUY,BUY
309,0.022222222222222223,0.00962387,BUY,BUY
310,0.9741131351869607,0.9,BUY,BUY
311,-0.46153846153846156,-0.42409074,SELL,SELL
312,1.0,0.9729459,BUY,BUY
313,-0.9483870967741935,-0.9,SELL,SELL
314,-0.9771428571428571,-0.9,SELL,SELL
315,-0.2,-0.2088914,SELL,SELL
316,-0.7142857142857143,-0.7462883,SELL,SELL
317,0.9941147621383031,0.9,BUY,BUY
318,0.986314421827631,0.9,BUY,BUY
319,0.5172413793103449,0.52474177,BUY,BUY
320,0.3442622950819672,0.33943105,BUY,BUY
321,-0.4968152866242038,-0.9,SELL,SELL
322,-0.9624161073825503,-0.9,SELL,SELL
323,-0.9879518072289156,-0.9,SELL,SELL
324,-0.982151244715829,-0.9,SELL,SELL
325,-0.296875,-0.25273943,SELL,SELL
326,-1.0,-0.91556334,SELL,SELL
327,0.6701030927835051,0.62304926,BUY,BUY
328,0.34782608695652173,0.3401183,BUY,BUY
329,1.0,0.9934801,BUY,BUY
330,0.6115107913669064,0.5980928,BUY,BUY
331,-1.0,-0.8898659,SELL,SELL
332,0.0,0.005210027,HOLD,BUY
333,-0.13304721030042918,-0.009562984,SELL,SELL
334,0.639344262295082,0.61773753,BUY,BUY
335,0.8095238095238095,0.69677114,BUY,BUY
336,1.0,0.9770193,BUY,BUY
337,-0.1864406779661017,-0.19048597,SELL,SELL
338,-1.0,-0.90550196,SELL,SELL
339,-0.6923076923076923,-0.65458345,SELL,SELL
340,0.3333333333333333,0.4091422,BUY,BUY
341,1.0,0.9,BUY,BUY
342,0.9792099792099792,0.9,BUY,BUY
343,0.8832116788321168,0.9,BUY,BUY
344,1.0,0.9,BUY,BUY
345,0.0,0.006749496,HOLD,BUY
346,0.9950795473183532,0.9,BUY,BUY
347,0.9565217391304348,0.9,BUY,BUY
348,-0.9808743169398907,-0.9,SELL,SELL
349,-1.0,-0.9,SELL,SELL
350,-0.9740400216333153,-0.9,SELL,SELL
351,-0.7391304347826086,-0.6318631,SELL,SELL
352,-0.9772020725388602,-0.9,SELL,SELL
353,-0.3333333333333333,-0.3150487,SELL,SELL
354,0.0,-0.017048374,HOLD,SELL
355,1.0,0.98451304,BUY,BUY
356,-1.0,-0.9,SELL,SELL
357,-0.9858870967741935,-0.9,SELL,SELL
358,0.3333333333333333,0.3289981,BUY,BUY
359,-0.5,-0.5400777,SELL,SELL
360,-0.0136986301369863,-0.022445694,SELL,SELL
361,-1.0,-0.9727893,SELL,SELL
362,-0.7159763313609467,-0.3149457,SELL,SELL
363,-0.943943943943944,-0.9,SELL,SELL
364,-1.0,-0.9,SELL,SELL
365,0.42857142857142855,0.4841205,BUY,BUY
366,1.0,0.9378834,BUY,BUY
367,-0.5,-0.4928558,SELL,SELL
368,0.9859320046893317,0.9,BUY,BUY
369,1.0,0.94505733,BUY,BUY
370,0.8890200708382526,0.9,BUY,BUY
371,1.0,0.9,BUY,BUY
372,0.2,0.18254416,BUY,BUY
373,-0.9505358615004122,-0.9,SELL,SELL
374,0.3333333333333333,0.32982194,BUY,BUY
375,-1.0,-0.9,SELL,SELL
376,-1.0,-0.9,SELL,SELL
377,-0.9496402877697842,-0.9,SELL,SELL
378,-0.4117647058823529,-0.43698072,SELL,SELL
379,0.29411764705882354,0.30923027,BUY,BUY
380,-0.9951923076923077,-0.9,SELL,SELL
381,-0.9818181818181818,-0.9,SELL,SELL
382,-0.6730245231607629,-0.5262475,SELL,SELL
383,-1.0,-0.9,SELL,SELL
384,0.5294117647058824,0.53987825,BUY,BUY
385,-0.7288135593220338,-0.7258582,SELL,SELL
386,-1.0,-0.9,SELL,SELL
387,-0.8559322033898306,-0.9,SELL,SELL
388,-0.9122486288848263,-0.9,SELL,SELL
389,-0.9111111111111111,-0.97352934,SELL,SELL
390,-0.9511201629327902,-0.9,SELL,SELL
391,0.0,-0.008117631,HOLD,SELL
392,0.984957264957265,0.9,BUY,BUY
393,-0.9572100984167736,-0.9,SELL,SELL
394,-0.8567623557265464,-0.9,SELL,SELL
395,0.34035087719298246,0.35013485,BUY,BUY
396,1.0,0.9665793,BUY,BUY
397,1.0,0.9378834,BUY,BUY
398,1.0,0.9,BUY,BUY
399,-0.9591836734693877,-0.9,SELL,SELL
400,-0.3333333333333333,-0.32912445,SELL,SELL
401,-0.16666666666666666,-0.16850187,SELL,SELL
402,-0.5652173913043478,-0.5329492,SELL,SELL
